username,text,followers_count,friends_count,statuses_count,label
alice_smith,"Just finished reading an amazing book about machine learning! #AI #MachineLearning",2500,450,1200,0
bob_jones,"Great day at the park with family. Weather is perfect! 🌞",1800,320,890,0
charlie_brown,"Check out this amazing offer! Click here: http://bit.ly/fakelink WIN BIG NOW!!!",45,4500,15000,1
diana_wilson,"Excited to announce my new project on data science. Stay tuned for updates!",3200,580,2100,0
eve_martin,"BUY NOW!!! Limited time offer http://spam.com/deal @everyone @follow4follow",120,8900,25000,1
frank_taylor,"Enjoying a cup of coffee while working on my thesis. #PhDLife #Research",1500,280,650,0
grace_lee,"FOLLOW ME FOR FOLLOW BACK!!! http://followback.fake @user1 @user2 @user3",80,12000,30000,1
henry_davis,"Attended an interesting conference on artificial intelligence today. Learned a lot!",2800,510,1450,0
iris_garcia,"🔥🔥🔥 AMAZING DEAL 🔥🔥🔥 Click now http://scam.com/offer LIMITED TIME!!!",95,9500,28000,1
jack_martinez,"Working on a new web development project using React and Node.js. Loving it!",2100,390,1100,0
karen_rodriguez,"GET RICH QUICK!!! http://money.fake Follow for more tips @everyone #money #rich",110,11000,32000,1
leo_hernandez,"Beautiful sunset today. Nature is truly amazing. #Photography #Nature",1900,340,780,0
maria_lopez,"CLICK HERE NOW!!! http://virus.com/download FREE IPHONE!!! @follow @like",75,13500,35000,1
nathan_gonzalez,"Just deployed my first machine learning model to production. Feeling accomplished!",2600,470,1350,0
olivia_wilson,"🎁🎁 GIVEAWAY ALERT 🎁🎁 Follow and RT to win!!! http://fake.com/giveaway",130,10500,29000,1
paul_anderson,"Reading about deep learning architectures. Neural networks are fascinating!",2300,420,1050,0
quinn_thomas,"BUY FOLLOWERS CHEAP!!! http://bots.com/buy Best prices guaranteed! @spam",88,14000,38000,1
rachel_taylor,"Enjoying the weekend with a good book and some tea. Perfect relaxation!",1700,310,720,0
steve_moore,"MAKE MONEY FROM HOME!!! http://scam.fake/work Easy money! Click now!!!",102,12500,33000,1
tina_jackson,"Excited about the new Python 3.12 release. Can't wait to try the new features!",2400,440,1180,0
uma_white,"FREE GIFT CARDS!!! http://phishing.com/cards Follow me now @everyone @spam",92,13000,36000,1
victor_harris,"Had a productive day at work. Solved a challenging bug in the codebase!",2000,370,920,0
wendy_martin,"LOSE WEIGHT FAST!!! http://pills.fake/diet Amazing results! Click here!!!",115,11500,31000,1
xavier_garcia,"Learning about cloud computing and AWS services. Technology is evolving so fast!",2700,490,1420,0
yara_rodriguez,"WIN A FREE CAR!!! http://lottery.scam/win Follow and share now!!! @everyone",105,12800,34000,1
zack_wilson,"Finished a great workout session. Feeling energized and ready for the day!",1850,330,810,0
amy_brown,"URGENT!!! Your account has been compromised! Click here: http://phish.com/login",70,15000,40000,1
brian_davis,"Exploring the latest trends in cybersecurity. Protecting data is crucial!",2550,460,1280,0
cathy_miller,"FOLLOW FOR FOLLOW!!! http://fake.follow/back Instant followers! @spam @bot",98,14500,37000,1
david_moore,"Just finished a marathon! Proud of this achievement. #Running #Fitness",1950,350,870,0
emma_taylor,"AMAZING CRYPTO OPPORTUNITY!!! http://scam.crypto/invest Get rich now!!!",125,10800,30500,1
fred_anderson,"Working on a new research paper about natural language processing. Exciting work!",2650,480,1380,0
gina_thomas,"CLICK TO WIN CASH PRIZE!!! http://fake.money/prize Limited spots! @everyone",82,13800,35500,1
harry_jackson,"Enjoying a quiet evening with classical music. Beethoven never gets old!",1750,315,740,0
ivy_white,"BUY LIKES AND FOLLOWERS!!! http://bots.social/buy Cheap prices! Fast delivery!",108,11800,32500,1
james_harris,"Debugging code can be frustrating but solving the problem is so satisfying!",2150,400,1020,0
kelly_martin,"FREE MONEY MAKING SYSTEM!!! http://pyramid.scam/join Join now! @spam",95,12200,33500,1
luke_garcia,"Attended a workshop on agile development methodologies. Very informative!",2450,450,1220,0
monica_rodriguez,"WEIGHT LOSS MIRACLE!!! http://fake.diet/pills Results guaranteed! Click!!!",118,10200,29500,1
nick_wilson,"Spent the day hiking in the mountains. The views were breathtaking!",1880,335,830,0
oscar_brown,"INVESTMENT OPPORTUNITY!!! http://ponzi.scam/invest Double your money!!!",88,14200,36500,1
penny_davis,"Learning React hooks and loving the cleaner code. Modern web dev is great!",2350,430,1140,0
quincy_miller,"URGENT SECURITY ALERT!!! http://phishing.fake/verify Click immediately!!!",72,15500,41000,1
rose_moore,"Finished reading a fascinating biography. History has so much to teach us!",1820,325,790,0
sam_taylor,"MAKE $10000 PER DAY!!! http://scam.money/system Easy work from home!!!",100,13200,34500,1
